h s s s,0.10665
h s S s,0.00515
h s S S,0.03222
h s P s,0.00122
h s P S,-0.00266
h s P P,0.02747
h s h s,0.00897
h S s s,-0.15187
h S S s,-0.00001
h S S S,-0.11625
h S P s,-0.00347
h S P S,0.02874
h S P P,-0.11093
h S h s,-0.01810
h S h S,0.08523
h P s s,0.15765
h P S s,0.00046
h P S S,0.12120
h P P s,0.00479
h P p S,-0.03902
h P P P,0.12061
h phs,0.01934
hphS,-0.09835
h P h P,0.11660
hhss,0.32923
h h S s,0.00089
h h S S,0.25123
h h P s,0.00970
h h P S,-0.08252
h h P P,0.25398
h h h s,0.04084
h h h S,-0.21847
h h h P,0.26249
